
> @barra-vips/operator-web@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local
✓ Ready in 1218ms

 GET /api/operator/schedule/slots?from=2026-04-22T21%3A34%3A57.782Z&to=2026-05-06T21%3A34%3A57.782Z&page_size=100 502 in 164ms (next.js: 40ms, proxy.ts: 31ms, application-code: 93ms)
 GET /api/operator/media?page_size=100 502 in 175ms (next.js: 62ms, proxy.ts: 33ms, application-code: 79ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 177ms (next.js: 73ms, proxy.ts: 37ms, application-code: 67ms)
 GET /api/operator/models/active 502 in 180ms (next.js: 83ms, proxy.ts: 43ms, application-code: 54ms)
 GET /api/operator/status/agent?window=24h 502 in 184ms (next.js: 95ms, proxy.ts: 45ms, application-code: 44ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 423ms (next.js: 100ms, proxy.ts: 140ms, application-code: 183ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 453ms (next.js: 132ms, proxy.ts: 142ms, application-code: 179ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 456ms (next.js: 170ms, proxy.ts: 143ms, application-code: 142ms)
 GET /api/operator/conversations?page_size=100 502 in 476ms (next.js: 187ms, proxy.ts: 143ms, application-code: 146ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 547ms (next.js: 324ms, proxy.ts: 145ms, application-code: 77ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 564ms (next.js: 342ms, proxy.ts: 154ms, application-code: 69ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A05.150Z&to=2026-05-06T21%3A35%3A05.150Z&page_size=100 502 in 288ms (next.js: 81ms, proxy.ts: 100ms, application-code: 107ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 288ms (next.js: 77ms, proxy.ts: 110ms, application-code: 101ms)
 GET /api/operator/media?page_size=100 502 in 333ms (next.js: 115ms, proxy.ts: 101ms, application-code: 117ms)
 GET /api/operator/models/active 502 in 334ms (next.js: 106ms, proxy.ts: 111ms, application-code: 117ms)
 GET /api/operator/status/agent?window=24h 502 in 340ms (next.js: 206ms, proxy.ts: 95ms, application-code: 39ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 56ms (next.js: 10ms, proxy.ts: 16ms, application-code: 30ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 230ms (next.js: 56ms, proxy.ts: 92ms, application-code: 82ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 246ms (next.js: 64ms, proxy.ts: 99ms, application-code: 83ms)
 GET /api/operator/conversations?page_size=100 502 in 261ms (next.js: 71ms, proxy.ts: 101ms, application-code: 89ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 272ms (next.js: 75ms, proxy.ts: 104ms, application-code: 93ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 276ms (next.js: 81ms, proxy.ts: 104ms, application-code: 91ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A12.642Z&to=2026-05-06T21%3A35%3A12.642Z&page_size=100 502 in 279ms (next.js: 92ms, proxy.ts: 103ms, application-code: 84ms)
 GET /api/operator/media?page_size=100 502 in 191ms (next.js: 40ms, proxy.ts: 52ms, application-code: 99ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 294ms (next.js: 55ms, proxy.ts: 54ms, application-code: 185ms)
 GET /api/operator/models/active 502 in 395ms (next.js: 62ms, proxy.ts: 59ms, application-code: 274ms)
 GET /api/operator/status/agent?window=24h 502 in 474ms (next.js: 72ms, proxy.ts: 61ms, application-code: 341ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 143ms (next.js: 50ms, proxy.ts: 71ms, application-code: 21ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 206ms (next.js: 60ms, proxy.ts: 60ms, application-code: 86ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 219ms (next.js: 70ms, proxy.ts: 63ms, application-code: 86ms)
 GET /api/operator/conversations?page_size=100 502 in 243ms (next.js: 79ms, proxy.ts: 65ms, application-code: 100ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 267ms (next.js: 92ms, proxy.ts: 65ms, application-code: 111ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 278ms (next.js: 176ms, proxy.ts: 59ms, application-code: 43ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A20.150Z&to=2026-05-06T21%3A35%3A20.150Z&page_size=100 502 in 160ms (next.js: 50ms, proxy.ts: 60ms, application-code: 50ms)
 GET /api/operator/media?page_size=100 502 in 180ms (next.js: 57ms, proxy.ts: 40ms, application-code: 83ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 184ms (next.js: 66ms, proxy.ts: 42ms, application-code: 77ms)
 GET /api/operator/models/active 502 in 193ms (next.js: 87ms, proxy.ts: 43ms, application-code: 63ms)
 GET /api/operator/status/agent?window=24h 502 in 195ms (next.js: 105ms, proxy.ts: 44ms, application-code: 45ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 298ms (next.js: 76ms, proxy.ts: 82ms, application-code: 140ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 302ms (next.js: 90ms, proxy.ts: 84ms, application-code: 129ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 304ms (next.js: 105ms, proxy.ts: 84ms, application-code: 115ms)
 GET /api/operator/conversations?page_size=100 502 in 310ms (next.js: 125ms, proxy.ts: 86ms, application-code: 99ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 313ms (next.js: 140ms, proxy.ts: 90ms, application-code: 83ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 317ms (next.js: 157ms, proxy.ts: 90ms, application-code: 71ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A27.631Z&to=2026-05-06T21%3A35%3A27.631Z&page_size=100 502 in 235ms (next.js: 63ms, proxy.ts: 91ms, application-code: 81ms)
 GET /api/operator/media?page_size=100 502 in 234ms (next.js: 69ms, proxy.ts: 94ms, application-code: 71ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 234ms (next.js: 79ms, proxy.ts: 97ms, application-code: 57ms)
 GET /api/operator/models/active 502 in 235ms (next.js: 88ms, proxy.ts: 102ms, application-code: 45ms)
 GET /api/operator/status/agent?window=24h 502 in 234ms (next.js: 96ms, proxy.ts: 103ms, application-code: 36ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 139ms (next.js: 59ms, proxy.ts: 50ms, application-code: 30ms)
 GET /api/operator/conversations?page_size=100 502 in 160ms (next.js: 54ms, proxy.ts: 57ms, application-code: 49ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 166ms (next.js: 69ms, proxy.ts: 59ms, application-code: 38ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 176ms (next.js: 81ms, proxy.ts: 58ms, application-code: 37ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 191ms (next.js: 108ms, proxy.ts: 56ms, application-code: 28ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 193ms (next.js: 110ms, proxy.ts: 59ms, application-code: 24ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A35.152Z&to=2026-05-06T21%3A35%3A35.152Z&page_size=100 502 in 103ms (next.js: 31ms, proxy.ts: 46ms, application-code: 26ms)
 GET /api/operator/media?page_size=100 502 in 117ms (next.js: 34ms, proxy.ts: 37ms, application-code: 45ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 117ms (next.js: 49ms, proxy.ts: 35ms, application-code: 33ms)
 GET /api/operator/models/active 502 in 123ms (next.js: 59ms, proxy.ts: 36ms, application-code: 28ms)
 GET /api/operator/status/agent?window=24h 502 in 135ms (next.js: 87ms, proxy.ts: 33ms, application-code: 15ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 131ms (next.js: 41ms, proxy.ts: 34ms, application-code: 56ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 873ms (next.js: 48ms, proxy.ts: 36ms, application-code: 789ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 2.2s (next.js: 52ms, proxy.ts: 38ms, application-code: 2.1s)
 GET /api/operator/conversations?page_size=100 502 in 2.3s (next.js: 59ms, proxy.ts: 40ms, application-code: 2.2s)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 2.4s (next.js: 64ms, proxy.ts: 42ms, application-code: 2.3s)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 2.4s (next.js: 68ms, proxy.ts: 45ms, application-code: 2.3s)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A42.637Z&to=2026-05-06T21%3A35%3A42.637Z&page_size=100 502 in 235ms (next.js: 64ms, proxy.ts: 61ms, application-code: 110ms)
 GET /api/operator/media?page_size=100 502 in 243ms (next.js: 77ms, proxy.ts: 67ms, application-code: 99ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 244ms (next.js: 95ms, proxy.ts: 71ms, application-code: 78ms)
 GET /api/operator/models/active 502 in 246ms (next.js: 112ms, proxy.ts: 75ms, application-code: 59ms)
 GET /api/operator/status/agent?window=24h 502 in 248ms (next.js: 118ms, proxy.ts: 82ms, application-code: 49ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 126ms (next.js: 42ms, proxy.ts: 49ms, application-code: 36ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 134ms (next.js: 43ms, proxy.ts: 47ms, application-code: 43ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 137ms (next.js: 51ms, proxy.ts: 50ms, application-code: 37ms)
 GET /api/operator/conversations?page_size=100 502 in 156ms (next.js: 63ms, proxy.ts: 48ms, application-code: 44ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 167ms (next.js: 84ms, proxy.ts: 46ms, application-code: 37ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 164ms (next.js: 89ms, proxy.ts: 40ms, application-code: 34ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A50.146Z&to=2026-05-06T21%3A35%3A50.146Z&page_size=100 502 in 130ms (next.js: 37ms, proxy.ts: 53ms, application-code: 39ms)
 GET /api/operator/media?page_size=100 502 in 132ms (next.js: 45ms, proxy.ts: 54ms, application-code: 33ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 131ms (next.js: 51ms, proxy.ts: 42ms, application-code: 39ms)
 GET /api/operator/models/active 502 in 147ms (next.js: 70ms, proxy.ts: 39ms, application-code: 38ms)
 GET /api/operator/status/agent?window=24h 502 in 144ms (next.js: 87ms, proxy.ts: 39ms, application-code: 18ms)
 GET /api/operator/dashboard/summary?window=24h 502 in 177ms (next.js: 47ms, proxy.ts: 53ms, application-code: 76ms)
 GET /api/operator/handoffs/summary?window=7d 502 in 181ms (next.js: 55ms, proxy.ts: 58ms, application-code: 68ms)
 GET /api/operator/dashboard/queues?page_size=10 502 in 181ms (next.js: 60ms, proxy.ts: 58ms, application-code: 62ms)
 GET /api/operator/conversations?page_size=100 502 in 183ms (next.js: 71ms, proxy.ts: 60ms, application-code: 52ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 502 in 185ms (next.js: 79ms, proxy.ts: 60ms, application-code: 46ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 502 in 187ms (next.js: 87ms, proxy.ts: 61ms, application-code: 39ms)
 GET /api/operator/schedule/slots?from=2026-04-22T21%3A35%3A57.634Z&to=2026-05-06T21%3A35%3A57.634Z&page_size=100 502 in 136ms (next.js: 34ms, proxy.ts: 39ms, application-code: 63ms)
 GET /api/operator/media?page_size=100 502 in 139ms (next.js: 44ms, proxy.ts: 41ms, application-code: 54ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 502 in 147ms (next.js: 49ms, proxy.ts: 44ms, application-code: 53ms)
 GET /api/operator/models/active 502 in 147ms (next.js: 53ms, proxy.ts: 46ms, application-code: 48ms)
 GET /api/operator/status/agent?window=24h 502 in 150ms (next.js: 63ms, proxy.ts: 47ms, application-code: 40ms)
