
> @barra-vips/operator-web@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.90:3000
- Environments: .env.local
✓ Ready in 1237ms

 GET /api/operator/dashboard/summary?window=24h 200 in 3.4s (next.js: 34ms, proxy.ts: 37ms, application-code: 3.3s)
 GET /api/operator/status/agent?window=24h 200 in 2.2s (next.js: 5ms, proxy.ts: 10ms, application-code: 2.2s)
 GET /api/operator/conversations?page_size=100 200 in 1810ms (next.js: 117ms, proxy.ts: 59ms, application-code: 1634ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1834ms (next.js: 119ms, proxy.ts: 69ms, application-code: 1647ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1863ms (next.js: 151ms, proxy.ts: 70ms, application-code: 1643ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1908ms (next.js: 103ms, proxy.ts: 59ms, application-code: 1747ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.6s (next.js: 84ms, proxy.ts: 59ms, application-code: 2.4s)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 67ms, proxy.ts: 55ms, application-code: 3.4s)
 GET /api/operator/models/active 200 in 1673ms (next.js: 142ms, proxy.ts: 80ms, application-code: 1451ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A09%3A31.420Z&to=2026-05-06T22%3A09%3A31.420Z&page_size=100 200 in 1791ms (next.js: 86ms, proxy.ts: 63ms, application-code: 1642ms)
 GET /api/operator/media?page_size=100 200 in 1819ms (next.js: 130ms, proxy.ts: 67ms, application-code: 1622ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1847ms (next.js: 135ms, proxy.ts: 78ms, application-code: 1634ms)
 GET /api/operator/status/agent?window=24h 200 in 2.5s (next.js: 16ms, proxy.ts: 52ms, application-code: 2.5s)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1783ms (next.js: 96ms, proxy.ts: 68ms, application-code: 1619ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1787ms (next.js: 105ms, proxy.ts: 69ms, application-code: 1613ms)
 GET /api/operator/conversations?page_size=100 200 in 1803ms (next.js: 90ms, proxy.ts: 62ms, application-code: 1652ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1820ms (next.js: 81ms, proxy.ts: 64ms, application-code: 1675ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 66ms, proxy.ts: 61ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1438ms (next.js: 39ms, proxy.ts: 62ms, application-code: 1338ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A09%3A46.429Z&to=2026-05-06T22%3A09%3A46.429Z&page_size=100 200 in 1608ms (next.js: 55ms, proxy.ts: 34ms, application-code: 1520ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1602ms (next.js: 39ms, proxy.ts: 60ms, application-code: 1504ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 56ms, proxy.ts: 57ms, application-code: 3.4s)
 GET /api/operator/media?page_size=100 200 in 1620ms (next.js: 35ms, proxy.ts: 60ms, application-code: 1525ms)
 GET /api/operator/status/agent?window=24h 200 in 2.2s (next.js: 7ms, proxy.ts: 8ms, application-code: 2.2s)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1692ms (next.js: 102ms, proxy.ts: 60ms, application-code: 1529ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1744ms (next.js: 68ms, proxy.ts: 58ms, application-code: 1618ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1734ms (next.js: 108ms, proxy.ts: 63ms, application-code: 1564ms)
 GET /api/operator/conversations?page_size=100 200 in 1755ms (next.js: 96ms, proxy.ts: 56ms, application-code: 1604ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 82ms, proxy.ts: 60ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1466ms (next.js: 52ms, proxy.ts: 60ms, application-code: 1354ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A10%3A01.420Z&to=2026-05-06T22%3A10%3A01.420Z&page_size=100 200 in 1598ms (next.js: 52ms, proxy.ts: 43ms, application-code: 1503ms)
 GET /api/operator/media?page_size=100 200 in 1613ms (next.js: 58ms, proxy.ts: 41ms, application-code: 1514ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1629ms (next.js: 52ms, proxy.ts: 49ms, application-code: 1529ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 60ms, proxy.ts: 50ms, application-code: 3.4s)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 10ms, proxy.ts: 6ms, application-code: 2.2s)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1734ms (next.js: 75ms, proxy.ts: 72ms, application-code: 1587ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1725ms (next.js: 110ms, proxy.ts: 65ms, application-code: 1550ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1734ms (next.js: 97ms, proxy.ts: 66ms, application-code: 1571ms)
 GET /api/operator/conversations?page_size=100 200 in 1751ms (next.js: 85ms, proxy.ts: 64ms, application-code: 1602ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.5s (next.js: 69ms, proxy.ts: 69ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1447ms (next.js: 48ms, proxy.ts: 40ms, application-code: 1359ms)
 GET /api/operator/media?page_size=100 200 in 1581ms (next.js: 32ms, proxy.ts: 34ms, application-code: 1515ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A10%3A16.418Z&to=2026-05-06T22%3A10%3A16.418Z&page_size=100 200 in 1590ms (next.js: 24ms, proxy.ts: 33ms, application-code: 1532ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1598ms (next.js: 42ms, proxy.ts: 34ms, application-code: 1523ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 53ms, proxy.ts: 66ms, application-code: 3.4s)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 12ms, proxy.ts: 9ms, application-code: 2.3s)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 2.5s (next.js: 177ms, proxy.ts: 59ms, application-code: 2.3s)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 2.5s (next.js: 161ms, proxy.ts: 55ms, application-code: 2.3s)
 GET /api/operator/conversations?page_size=100 200 in 2.6s (next.js: 137ms, proxy.ts: 53ms, application-code: 2.4s)
 GET /api/operator/dashboard/queues?page_size=10 200 in 2.8s (next.js: 108ms, proxy.ts: 55ms, application-code: 2.7s)
 GET /api/operator/handoffs/summary?window=7d 200 in 3.9s (next.js: 81ms, proxy.ts: 58ms, application-code: 3.8s)
 GET /api/operator/models/active 200 in 1994ms (next.js: 6ms, proxy.ts: 17ms, application-code: 1971ms)
 GET /api/operator/media?page_size=100 200 in 2.6s (next.js: 93ms, proxy.ts: 38ms, application-code: 2.5s)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A10%3A31.423Z&to=2026-05-06T22%3A10%3A31.423Z&page_size=100 200 in 2.6s (next.js: 82ms, proxy.ts: 35ms, application-code: 2.5s)
 GET /api/operator/dashboard/summary?window=24h 200 in 5.2s (next.js: 55ms, proxy.ts: 56ms, application-code: 5.1s)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 2.6s (next.js: 144ms, proxy.ts: 42ms, application-code: 2.4s)
 GET /api/operator/status/agent?window=24h 200 in 3.0s (next.js: 5ms, proxy.ts: 12ms, application-code: 3.0s)
 GET /modelos 200 in 563ms (next.js: 366ms, proxy.ts: 20ms, application-code: 177ms)
 GET /api/operator/models/active 200 in 1445ms (next.js: 21ms, proxy.ts: 24ms, application-code: 1400ms)
 GET /api/operator/models/active 200 in 1443ms (next.js: 32ms, proxy.ts: 23ms, application-code: 1388ms)
 GET /dashboard 200 in 156ms (next.js: 15ms, proxy.ts: 14ms, application-code: 127ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1713ms (next.js: 95ms, proxy.ts: 74ms, application-code: 1545ms)
 GET /api/operator/conversations?page_size=100 200 in 1727ms (next.js: 80ms, proxy.ts: 68ms, application-code: 1579ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1732ms (next.js: 90ms, proxy.ts: 70ms, application-code: 1572ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1749ms (next.js: 74ms, proxy.ts: 65ms, application-code: 1610ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 73ms, proxy.ts: 63ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1436ms (next.js: 47ms, proxy.ts: 30ms, application-code: 1359ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A10%3A42.212Z&to=2026-05-06T22%3A10%3A42.212Z&page_size=100 200 in 1572ms (next.js: 30ms, proxy.ts: 39ms, application-code: 1503ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1599ms (next.js: 36ms, proxy.ts: 29ms, application-code: 1534ms)
 GET /api/operator/media?page_size=100 200 in 1611ms (next.js: 31ms, proxy.ts: 30ms, application-code: 1550ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.4s (next.js: 65ms, proxy.ts: 60ms, application-code: 3.3s)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 6ms, proxy.ts: 11ms, application-code: 2.3s)
 GET /api/operator/conversations?page_size=100 200 in 1541ms (next.js: 23ms, proxy.ts: 24ms, application-code: 1493ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1561ms (next.js: 17ms, proxy.ts: 23ms, application-code: 1521ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1566ms (next.js: 6ms, proxy.ts: 32ms, application-code: 1528ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.3s (next.js: 10ms, proxy.ts: 16ms, application-code: 2.3s)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1542ms (next.js: 7ms, proxy.ts: 10ms, application-code: 1525ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A10%3A42.218Z&to=2026-05-06T22%3A10%3A42.218Z&page_size=100 200 in 1587ms (next.js: 24ms, proxy.ts: 38ms, application-code: 1525ms)
 GET /api/operator/media?page_size=100 200 in 1555ms (next.js: 12ms, proxy.ts: 34ms, application-code: 1509ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1547ms (next.js: 13ms, proxy.ts: 27ms, application-code: 1507ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.3s (next.js: 10ms, proxy.ts: 12ms, application-code: 3.3s)
 GET /api/operator/models/active 200 in 1395ms (next.js: 7ms, proxy.ts: 13ms, application-code: 1375ms)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 7ms, proxy.ts: 7ms, application-code: 2.3s)
 GET /api/operator/conversations?page_size=100 200 in 1773ms (next.js: 130ms, proxy.ts: 48ms, application-code: 1595ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1786ms (next.js: 115ms, proxy.ts: 48ms, application-code: 1623ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1782ms (next.js: 140ms, proxy.ts: 51ms, application-code: 1591ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1783ms (next.js: 148ms, proxy.ts: 54ms, application-code: 1581ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.7s (next.js: 75ms, proxy.ts: 52ms, application-code: 2.6s)
 GET /api/operator/models/active 200 in 1684ms (next.js: 43ms, proxy.ts: 47ms, application-code: 1594ms)
 GET /api/operator/media?page_size=100 200 in 1885ms (next.js: 33ms, proxy.ts: 38ms, application-code: 1814ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 2.1s (next.js: 37ms, proxy.ts: 43ms, application-code: 1980ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.9s (next.js: 49ms, proxy.ts: 49ms, application-code: 3.8s)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A10%3A57.225Z&to=2026-05-06T22%3A10%3A57.225Z&page_size=100 200 in 2.3s (next.js: 30ms, proxy.ts: 34ms, application-code: 2.2s)
 GET /api/operator/status/agent?window=24h 200 in 3.0s (next.js: 5ms, proxy.ts: 248ms, application-code: 2.7s)
 GET /api/operator/conversations?page_size=100 200 in 3.2s (next.js: 173ms, proxy.ts: 33ms, application-code: 3.0s)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 3.4s (next.js: 34ms, proxy.ts: 179ms, application-code: 3.2s)
 GET /api/operator/dashboard/queues?page_size=10 200 in 3.6s (next.js: 504ms, proxy.ts: 40ms, application-code: 3.1s)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 3.8s (next.js: 38ms, proxy.ts: 180ms, application-code: 3.6s)
 GET /api/operator/handoffs/summary?window=7d 200 in 3.9s (next.js: 175ms, proxy.ts: 41ms, application-code: 3.6s)
 GET /api/operator/dashboard/summary?window=24h 200 in 4.7s (next.js: 12ms, proxy.ts: 14ms, application-code: 4.7s)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A11%3A12.700Z&to=2026-05-06T22%3A11%3A12.700Z&page_size=100 200 in 1862ms (next.js: 55ms, proxy.ts: 65ms, application-code: 1742ms)
 GET /api/operator/media?page_size=100 200 in 2.0s (next.js: 84ms, proxy.ts: 66ms, application-code: 1886ms)
 GET /api/operator/models/active 200 in 2.0s (next.js: 415ms, proxy.ts: 59ms, application-code: 1556ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 2.2s (next.js: 370ms, proxy.ts: 56ms, application-code: 1815ms)
 GET /api/operator/status/agent?window=24h 200 in 2.8s (next.js: 428ms, proxy.ts: 63ms, application-code: 2.3s)
 GET /api/operator/conversations?page_size=100 200 in 3.0s (next.js: 58ms, proxy.ts: 783ms, application-code: 2.1s)
 GET /api/operator/dashboard/queues?page_size=10 200 in 3.2s (next.js: 686ms, proxy.ts: 142ms, application-code: 2.3s)
 GET /api/operator/handoffs/summary?window=7d 200 in 3.4s (next.js: 696ms, proxy.ts: 141ms, application-code: 2.6s)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 3.5s (next.js: 53ms, proxy.ts: 792ms, application-code: 2.7s)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 3.7s (next.js: 83ms, proxy.ts: 788ms, application-code: 2.9s)
 GET /api/operator/dashboard/summary?window=24h 200 in 4.8s (next.js: 851ms, proxy.ts: 45ms, application-code: 3.9s)
